"Match ID","Tournament ID",Round,"Round Date",Scenario,"Player 1",P1AttDef,P1AlorAx,"P1 Result","Player 2",P2AttDef,P2AlorAx,"P2 Result",Date,P1RateChange,P1RatingAfter,P2RateChange,P2RatingAfter
111728,eASL_22,2,2022-04-03,AP183,GiM1,defender,axis,win,JSI,attacker,allies,lost,2022-04-03,17.4,1555.7,-17.4,1474.7
111729,eASL_22,2,2022-04-03,ASL127,RrC1,defender,axis,win,PiM1,attacker,allies,lost,2022-04-03,19.3,1542.1,-15.4,1426.5
111730,eASL_22,2,2022-04-03,ASL126,JKD,defender,allies,win,G2D,attacker,axis,lost,2022-04-03,20.7,1452.3,-20.7,1422.5
111731,eASL_22,2,2022-04-03,ON-9,EnN1,attacker,axis,win,SSM,defender,allies,lost,2022-04-03,22.3,1441.5,-22.3,1437.1
111732,eASL_22,2,2022-04-03,HG12,KnM3,defender,axis,win,MrC1,attacker,allies,lost,2022-04-03,18,1380.2,-18,1309.9
111733,eASL_22,2,2022-04-03,ON9,BtJ1,defender,allies,win,DDD,attacker,allies,lost,2022-04-03,11.5,1414,-11.5,1233.3
111700,eASL_22,1,2022-03-20,HF6,SzJ1,defender,allies,win,DHR,attacker,axis,lost,2022-03-20,29.2,1646.7,-29.2,1761.8
111701,eASL_22,1,2022-03-20,ON10,MIJ,defender,allies,win,KNL,attacker,axis,lost,2022-03-20,13,1571.8,-13,1418.3
111702,eASL_22,1,2022-03-20,DTF13,GCJ,attacker,allies,win,KGR,defender,axis,lost,2022-03-20,18.8,1749.1,-18.8,1690.3
111703,eASL_22,1,2022-03-20,ON10,CNC,defender,allies,win,WEJ,attacker,"axis ",lost,2022-03-20,2.2,1759.7,-2.2,1262.8
111704,eASL_22,1,2022-03-20,ASLUG10,SFN,defender,axis,win,DYC,attacker,allies,lost,2022-03-20,19.3,1708.6,-19.3,1658.1
111705,eASL_22,1,2022-03-20,ON10,BLB,attacker,axis,win,BSG,defender,allies,lost,2022-03-20,23.5,1646.5,-23.5,1660.5
111706,eASL_22,1,2022-03-20,ASL102,WTJ,attacker,allies,win,RGL,defender,axis,lost,2022-03-20,21.7,1600.6,-21.7,1585.9
111707,eASL_22,1,2022-03-20,ON10,SnD1,defender,allies,win,68D,attacker,axis,lost,2022-03-20,20.5,1579.6,-20.5,1547.1
111708,eASL_22,1,2022-03-20,ON10,ANT,attacker,axis,win,C7B,defender,allies,lost,2022-03-20,21.5,1541.1,-21.5,1523.8
