"Player Code",Name,Country,Active,Provisional,"First Game","Last Game",Highest,Rating,GP,Won,"GP Att","Attack Wins","GP Def","Def Wins","GP Axis","Axis Wins","GP Allies","Allies Wins","Cur Streak","Longest Strk","Max. Decay","Decay to date"
FKM,"Melvin FALK",Sweden,1,0,1998-04-03,2024-05-05,2019,1948.1,379,306,152,122,152,126,153,123,156,122,2,32,0,0
TGL,"Lars THURING",Sweden,0,0,1998-04-03,2019-11-03,1813.4,1658.5,235,138,60,32,70,43,74,47,63,32,2,8,259,69
SNM,"Mikael SIEMSEN",Denmark,0,0,1998-04-03,2003-02-01,1594.5,1296.2,24,13,4,2,4,2,5,3,3,1,1,4,228,228
LNN,"Niels LARSEN",Denmark,1,0,1998-04-04,2024-03-03,1608.3,1567.1,77,38,13,7,19,7,12,4,9,4,3,5,0,33
FRS,"Stefan FIEDLER",Sweden,1,0,1998-04-04,2024-03-03,1648.1,1626.3,83,43,25,10,25,17,23,12,17,7,0,4,0,201
MLB,"Bjarne MARELL",Denmark,0,0,1998-04-05,2011-02-27,1801.2,1531,50,38,5,4,3,2,6,4,3,3,1,12,270,270
BDE,"Edward BLOMSTRAND",Sweden,0,1,1999-02-26,2001-02-04,1511.3,1284.6,7,3,1,0,0,0,0,0,1,0,2,2,226,226
VI0,"Eero VIHERSAARI",Finland,1,0,1999-02-26,2024-08-25,1713,1622.4,76,51,16,9,18,10,20,13,10,5,0,7,0,222
TEG,"G. TOURNEMIRE",France,1,0,1999-02-27,2024-07-28,1971.3,1946.9,380,293,154,117,191,150,175,138,173,132,7,19,0,0
WNR,"Ray WOLOSZYN",USA,1,0,1999-02-27,2024-08-03,1724.7,1579.9,336,176,90,35,113,65,113,57,131,68,0,9,0,0
ANJ,"Jersee ADAMSSON",Sweden,0,0,1999-02-27,2004-02-01,1500,1189.2,19,5,1,0,1,0,2,0,0,0,0,3,209,209
JNT,"Torben JøRGENSEN",Denmark,0,0,1999-02-27,2013-11-10,1500,1204.1,19,5,3,0,4,0,0,0,7,0,0,3,180,207
TRD,"Derek TOCHER",UK,0,0,1999-02-27,2010-10-31,1779,1512.1,41,30,6,1,3,2,5,1,4,2,7,8,266,266
RdM1,"Mike Rudd",UK,0,1,1999-02-28,1999-02-28,1503.6,1278,1,0,1,0,0,0,0,0,1,0,1,1,225,225
