"scenario id","scen name","pub name","first side result","second side name","second side result","url link"
1,"Fighting Withdrawal","Beyond Valor",Finnish,277,Russian,322,https://vasl-templates.org/services/roar/1
2,"Mila 18","Beyond Valor",ZOB,100,German,108,https://vasl-templates.org/services/roar/2
3,"The Czerniakow Bridgehead","Beyond Valor",German,99,Partisan/Russian,106,https://vasl-templates.org/services/roar/3
4,"The Commissar's House","Beyond Valor",German,151,Russian,149,https://vasl-templates.org/services/roar/4
5,"In Sight of the Volga","Beyond Valor",German,50,Russian,96,https://vasl-templates.org/services/roar/5
6,"Red Packets","Beyond Valor",German,88,Russian,109,https://vasl-templates.org/services/roar/6
7,"Dash for the Bridge","Beyond Valor",Russian,30,German,50,https://vasl-templates.org/services/roar/7
8,"The Fugitives","Beyond Valor",German,84,Russian,124,https://vasl-templates.org/services/roar/8
9,"To the Square","Beyond Valor",German,41,Russian,56,https://vasl-templates.org/services/roar/9
10,"The Citadel","Beyond Valor",German,77,Russian,105,https://vasl-templates.org/services/roar/10
123,"The Borders are Burning","Beyond Valor 3rd Edition",Finnish,9,Russian,6,https://vasl-templates.org/services/roar/3681
124,"On the Borderline","Beyond Valor 3rd Edition",Russian,6,Finnish,5,https://vasl-templates.org/services/roar/3682
125,"First Crisis at Army Group North","Beyond Valor 3rd Edition",Russian,6,German,22,https://vasl-templates.org/services/roar/3014
126,"Commando Schenke","Beyond Valor 3rd Edition",Russian,71,German,82,https://vasl-templates.org/services/roar/2712
127,"Land Leviathans","Beyond Valor 3rd Edition",German,5,Russian,12,https://vasl-templates.org/services/roar/2958
128,"The Defense of Luga","Beyond Valor 3rd Edition",Russian,1,German,5,https://vasl-templates.org/services/roar/3683
129,"Slamming of the Door","Beyond Valor 3rd Edition",Russian,27,German,20,https://vasl-templates.org/services/roar/2887
130,"Debacle at Korosten","Beyond Valor 3rd Edition",German,3,Russian,3,https://vasl-templates.org/services/roar/3684
131,"The Penetration of Rostov","Beyond Valor 3rd Edition",German,11,Russian,8,https://vasl-templates.org/services/roar/3685
132,"Hill 253.5","Beyond Valor 3rd Edition",Russian,11,German,10,https://vasl-templates.org/services/roar/3686
133,"Block Busting in Bokruisk","Beyond Valor 3rd Edition",German,13,Russian,9,https://vasl-templates.org/services/roar/3687
134,"Counterattack on the Vistula","Beyond Valor 3rd Edition",Russian,16,German,13,https://vasl-templates.org/services/roar/3015
135,"Acts of Defiance","Beyond Valor 3rd Edition",Russian,17,German,13,https://vasl-templates.org/services/roar/3689
136,"The Agony of Doom","Beyond Valor 3rd Edition",Russian,7,German,20,https://vasl-templates.org/services/roar/3016
11,"Defiance on Hill 30",Paratrooper,American,214,German,220,https://vasl-templates.org/services/roar/11
12,"Confusion Reigns",Paratrooper,American,107,German,79,https://vasl-templates.org/services/roar/12
13,"Le Manoir (The Manor)",Paratrooper,American,172,German,83,https://vasl-templates.org/services/roar/13
14,"Silence that Gun",Paratrooper,American,143,German,242,https://vasl-templates.org/services/roar/14
15,Trapped!,Paratrooper,American,32,German,52,https://vasl-templates.org/services/roar/15
16,"No Better Spot to Die",Paratrooper,German,106,American,57,https://vasl-templates.org/services/roar/16
17,"Lost Opportunities",Paratrooper,German,113,American,100,https://vasl-templates.org/services/roar/17
