id,"Base Name","Month Held","Year Held","Date Held","Tournament ID",City/Region,Country,Type,Iteration,First,Second,Third,"Date Added",url
732,"Double One",May,2006,2006-05-20,2ONE_06,Chelmsford,UK,EU,"1th edition",BET,WTA,DEP,2017-08-30,
733,"Double One",May,2007,2007-05-12,2ONE_07,Chelmsford,UK,EU,"2th edition",MHD,PRS,JSR,2017-08-30,
734,"Double One",June,2008,2008-06-21,2ONE_08,London,UK,EU,"3th edition",MHD,JKN,PDI,2017-08-30,
735,"Double One",June,2010,2010-06-26,2ONE_10,Chelmsford,UK,EU,"4th edition",,,,2017-08-30,
736,"Double One",June,2011,2011-06-24,2ONE_11,Chelmsford,UK,EU,"5th edition",,,,2017-08-30,
737,"Double One",June,2012,2012-06-23,2ONE_12,Chelmsford,UK,EU,"6th edition",,,,2017-08-30,
738,"Double One",June,2013,2013-06-28,2ONE_13,Chelmsford,UK,EU,"7th edition",PRS,RYD,JPG,2017-08-30,
739,"Double One",June,2014,2014-06-27,2ONE_14,Chelmsford,UK,EU,"8th edition",,,,2017-08-30,
740,"Double One",June,2015,2015-06-25,2ONE_15,Chelmsford,UK,EU,"9th edition",,,,2017-08-30,
741,"Double One",June,2016,2016-06-23,2ONE_16,Chelmsford,UK,EU,"10th edition",,,,2017-08-30,
742,"Alpen Festung",April,2011,2011-04-09,ALPEN_11,Amden,Switzerland,EU,"0th edition",SAH,,,2017-08-30,
743,"Alpen Festung",April-August,2012,2012-04-25,ALPEN_12,Amden,Switzerland,EU,"0th edition",,,,2017-08-30,
744,"Alpen Festung",April-August,2013,2013-04-20,ALPEN_13,Amden,Switzerland,EU,"0th edition",,,,2017-08-30,
745,"Alpen Festung",April-August,2014,2014-04-01,ALPEN_14,Amden,Switzerland,EU,"0th edition",,,,2017-08-30,
746,"Alpen Festung",August,2015,2015-08-14,ALPEN_15,Amden,Switzerland,EU,"0th edition",,,,2017-08-30,
747,"Alpen Festung",July,2016,2016-07-08,ALPEN_16,Amden,Switzerland,EU,"0th edition",HLE,,,2017-08-30,
748,"A bridge too far",October,2003,2003-09-12,ARNH_03,Arnhem,Netherlands,EU,"2th edition",VYX,,,2017-08-30,
749,"A bridge too far",October,2004,2004-09-17,ARNH_04,Arnhem,Netherlands,EU,"3th edition",FKM,DRA,RGC,2017-08-30,
